concessionaria;praca;ano;rodovia;uf;Km;municipio;pista;sentido;situacao;latitude;longitude
TRANSBRASILIANA;P 02;2015;BR-153;SP;98,9;José Bonifácio;Principal;Crescente/Decrescente;Ativo;-20,9975;-49,628333
TRANSBRASILIANA;P 03;2015;BR-153;SP;183,8;Lins;Principal;Crescente/Decrescente;Ativo;-21,710555;-49,808611
TRANSBRASILIANA;P 04;2015;BR-153;SP;268,1;Vera Cruz;Principal;Crescente/Decrescente;Ativo;-22,336311;-49,898833
VIA ARAUCÁRIA;P01 São Luiz do Purunã;2019;BR-277;PR;140;Balsa Nova;Principal;Crescente/Decrescente;Ativo;-25,47;-49,66
VIA ARAUCÁRIA;P02 Porto Amazonas;2019;BR-277;PR;165,7;Porto Amazonas;Principal;Crescente/Decrescente;Ativo;-25,47;-49,9
VIA ARAUCÁRIA;P03 Irati;2019;BR-277;PR;256,1;Irati;Principal;Crescente/Decrescente;Ativo;-25,44;-50,72
VIA ARAUCÁRIA;P04 Imbituva;2019;BR-373;PR;216;Imbituva;Principal;Crescente/Decrescente;Ativo;-25,16;-50,54
VIA ARAUCÁRIA;P05 Lapa;2019;BR-476;PR;191,42;Lapa;Principal;Crescente/Decrescente;Ativo;-25,725664;-49,699992
VIA BRASIL;P3 - Trairão;2021;BR-163;PA;636,015;Trairão;Principal;Crescente/Decrescente;Ativo;-4,620594;-55,951381
VIA BRASIL;P1 - Claúdia;2021;BR-163;MT;897;Cláudia;Principal;Crescente/Decrescente;Ativo;-11,339218;-55,331222
VIA BRASIL;P2 - Guarantã do Norte;2021;BR-163;MT;1089,45;Terra Nova do Norte;Principal;Crescente/Decrescente;Ativo;-9,756473;-54,89443
VIA COSTEIRA;P1-Laguna;2020;BR-101;SC;298,66;Laguna;Principal;Crescente/Decrescente;Ativo;-28,350722;-48,739429
VIA COSTEIRA;P2-Tubarão;2020;BR-101;SC;344,7;Tubarão;Principal;Crescente/Decrescente;Ativo;-28,554278;-49,054214
VIA COSTEIRA;P3-Araranguá;2020;BR-101;SC;404,55;Maracajá;Principal;Crescente/Decrescente;Ativo;-28,89774;-49,473136
VIA COSTEIRA;P4-São João do Sul;2020;BR-101;SC;457,53;São João do Sul;Principal;Crescente/Decrescente;Ativo;-29,243667;-49,754475
VIA CRISTAIS;P1 - Paracatu;2010;BR-40;MG;17,65;Paracatu;Principal;Crescente/Decrescente;Ativo;-17,09831;-47,02624
VIA CRISTAIS;P2 - Lagoa Grande;2010;BR-40;MG;91,295;Lagoa Grande;Principal;Crescente/Decrescente;Ativo;-17,50598;-46,56465
VIA CRISTAIS;P3 - João Pinheiro;2010;BR-40;MG;172,985;João Pinheiro;Principal;Crescente/Decrescente;Ativo;-17,94577;-46,03425
VIA CRISTAIS;P4 - São Gonçalo do Abaeté;2010;BR-40;MG;254,1;São Gonçalo do Abaeté;Principal;Crescente/Decrescente;Ativo;-18,13265;-45,40817
VIA CRISTAIS;P5 - Felixlândia;2010;BR-40;MG;328,705;Felixlândia;Principal;Crescente/Decrescente;Ativo;-18,5654;-45,02116
VIA CRISTAIS;P6 - Curvelo;2010;BR-40;MG;405,353;Curvelo;Principal;Crescente/Decrescente;Ativo;-19,0793;-44,65495
VIA CRISTAIS;P7 - Capim Branco;2010;BR-40;MG;487,341;Capim Branco;Principal;Crescente/Decrescente;Ativo;-19,60121;-44,22196
VIA MINEIRA;P1 - Itabirito;2012;BR-40;MG;577,2;Itabirito;Principal;Crescente/Decrescente;Ativo;-20,27288;-43,95112
VIA MINEIRA;P2 - Lafaiete;2012;BR-40;MG;642,85;Conselheiro Lafaiete;Principal;Crescente/Decrescente;Ativo;-20,76702;-43,80668
VIA MINEIRA;P3 - Barbacena;2012;BR-40;MG;714,1;Barbacena;Principal;Crescente/Decrescente;Ativo;-21,26271;-43,66224
VIA SUL;P1-Três Cachoeiras;2019;BR-101;RS;35,2;Três Cachoeiras;Principal;Crescente/Decrescente;Ativo;-29,520461;-49,996581
VIA SUL;P4-Montenegro;2019;BR-386;RS;426;Montenegro;Principal;Crescente/Decrescente;Ativo;-29,81976;-51,360405
VIA SUL;P5-Paverama;2019;BR-386;RS;375,8;Paverama;Principal;Crescente/Decrescente;Ativo;-29,626833;-51,775773
VIA SUL;P6-Fontoura Xavier;2019;BR-386;RS;262,7;Fontoura Xavier;Principal;Crescente/Decrescente;Ativo;-28,905316;-52,396797
VIA SUL;P7-Victor Graeff;2019;BR-386;RS;204,4;Victor Graeff;Principal;Crescente/Decrescente;Ativo;-28,502039;-52,644709
VIA SUL;P2-Santo Antônio da Patrulha;2017;BR-290;RS;19,4;Santo Antônio da Patrulha;Principal;Crescente/Decrescente;Ativo;-29,885897;-50,448964
VIA SUL;P3-Gravatai;2019;BR-290;RS;60;Gravataí;Principal;Crescente/Decrescente;Ativo;-29,925023;-50,859104
WAY 262;P01 - Florestal;2023;BR-262;MG;390,225;Florestal;Principal;Crescente/Decrescente;Ativo;-19,909615;-44,506725
WAY 262;P03 - Luz;2023;BR-262;MG;510,9;Luz;Principal;Crescente/Decrescente;Ativo;-19,788259;-45,58463
WAY 262;P04 - Campos Altos;2023;BR-262;MG;597,3;Campos Altos;Principal;Crescente/Decrescente;Ativo;-19,647341;-46,240088
WAY 262;P06 - Perdizes;2017;BR-262;MG;727,125;Perdizes;Principal;Crescente/Decrescente;Ativo;-19,617614;-47,346547
